INSERT INTO products (name, price, stock, image, description, status, created_at, updated_at) VALUES
('Product 1', 10.99, 100, 'image1.jpg', 'Description for product 1', 'active', NOW(), NOW()),
('Product 2', 15.49, 50, 'image2.jpg', 'Description for product 2', 'active', NOW(), NOW()),
('Product 3', 12.00, 200, 'image3.jpg', 'Description for product 3', 'inactive', NOW(), NOW()),
('Product 4', 25.99, 150, 'image4.jpg', 'Description for product 4', 'active', NOW(), NOW()),
('Product 5', 5.75, 80, 'image5.jpg', 'Description for product 5', 'active', NOW(), NOW()),
('Product 6', 8.99, 30, 'image6.jpg', 'Description for product 6', 'inactive', NOW(), NOW()),
('Product 7', 13.50, 60, 'image7.jpg', 'Description for product 7', 'active', NOW(), NOW()),
('Product 8', 20.00, 40, 'image8.jpg', 'Description for product 8', 'inactive', NOW(), NOW()),
('Product 9', 7.99, 90, 'image9.jpg', 'Description for product 9', 'active', NOW(), NOW()),
('Product 10', 9.49, 70, 'image10.jpg', 'Description for product 10', 'inactive', NOW(), NOW()),
('Product 11', 14.99, 120, 'image11.jpg', 'Description for product 11', 'active', NOW(), NOW()),
('Product 12', 17.99, 140, 'image12.jpg', 'Description for product 12', 'active', NOW(), NOW()),
('Product 13', 21.50, 30, 'image13.jpg', 'Description for product 13', 'inactive', NOW(), NOW()),
('Product 14', 18.75, 100, 'image14.jpg', 'Description for product 14', 'active', NOW(), NOW()),
('Product 15', 6.99, 200, 'image15.jpg', 'Description for product 15', 'active', NOW(), NOW()),
('Product 16', 11.99, 60, 'image16.jpg', 'Description for product 16', 'inactive', NOW(), NOW()),
('Product 17', 23.99, 40, 'image17.jpg', 'Description for product 17', 'active', NOW(), NOW()),
('Product 18', 16.49, 70, 'image18.jpg', 'Description for product 18', 'active', NOW(), NOW()),
('Product 19', 19.99, 80, 'image19.jpg', 'Description for product 19', 'inactive', NOW(), NOW()),
('Product 20', 22.50, 50, 'image20.jpg', 'Description for product 20', 'active', NOW(), NOW()),
('Product 21', 9.00, 100, 'image21.jpg', 'Description for product 21', 'inactive', NOW(), NOW()),
('Product 22', 5.50, 90, 'image22.jpg', 'Description for product 22', 'active', NOW(), NOW()),
('Product 23', 7.25, 200, 'image23.jpg', 'Description for product 23', 'inactive', NOW(), NOW()),
('Product 24', 10.75, 70, 'image24.jpg', 'Description for product 24', 'active', NOW(), NOW()),
('Product 25', 12.99, 40, 'image25.jpg', 'Description for product 25', 'inactive', NOW(), NOW()),
('Product 26', 8.75, 80, 'image26.jpg', 'Description for product 26', 'active', NOW(), NOW()),
('Product 27', 14.49, 120, 'image27.jpg', 'Description for product 27', 'inactive', NOW(), NOW()),
('Product 28', 11.25, 30, 'image28.jpg', 'Description for product 28', 'active', NOW(), NOW()),
('Product 29', 16.00, 60, 'image29.jpg', 'Description for product 29', 'inactive', NOW(), NOW()),
('Product 30', 18.25, 50, 'image30.jpg', 'Description for product 30', 'active', NOW(), NOW()),
('Product 31', 13.75, 90, 'image31.jpg', 'Description for product 31', 'inactive', NOW(), NOW()),
('Product 32', 15.99, 100, 'image32.jpg', 'Description for product 32', 'active', NOW(), NOW()),
('Product 33', 20.75, 200, 'image33.jpg', 'Description for product 33', 'inactive', NOW(), NOW()),
('Product 34', 6.50, 70, 'image34.jpg', 'Description for product 34', 'active', NOW(), NOW()),
('Product 35', 22.99, 40, 'image35.jpg', 'Description for product 35', 'inactive', NOW(), NOW()),
('Product 36', 9.99, 60, 'image36.jpg', 'Description for product 36', 'active', NOW(), NOW()),
('Product 37', 12.49, 50, 'image37.jpg', 'Description for product 37', 'inactive', NOW(), NOW()),
('Product 38', 8.25, 100, 'image38.jpg', 'Description for product 38', 'active', NOW(), NOW()),
('Product 39', 19.75, 90, 'image39.jpg', 'Description for product 39', 'inactive', NOW(), NOW()),
('Product 40', 5.99, 80, 'image40.jpg', 'Description for product 40', 'active', NOW(), NOW());
